generation,best_gen,best_ever,mean_fitness,greedy_fitness,mean_certainty,t_eval_max,elapsed
285,-8.92e-05,-6.173e-05,-0.00349867,-0.7683214,0.63184,10,8.82
286,-8.92e-05,-6.173e-05,-0.00579619,-0.63818587,0.63234,10,8.85
287,-8.92e-05,-6.173e-05,-0.0101968,-0.3598142,0.6308,10,8.88
288,-8.92e-05,-6.173e-05,-0.00776901,-0.73422327,0.63066,10,8.91
289,-8.92e-05,-6.173e-05,-0.00416536,-0.72145675,0.63195,10,8.94
290,-8.92e-05,-6.173e-05,-0.00848987,-0.37269049,0.63327,10,8.97
291,-8.92e-05,-6.173e-05,-0.00346136,-0.37070468,0.63526,10,9.0
292,-8.92e-05,-6.173e-05,-0.00826956,-0.35430581,0.63704,10,9.03
293,-8.92e-05,-6.173e-05,-0.00051533,-0.51189476,0.638,10,9.06
294,-8.92e-05,-6.173e-05,-0.00389944,-0.53330943,0.63898,10,9.09
295,-8.92e-05,-6.173e-05,-0.00779059,-0.50860764,0.63995,10,9.12
296,-8.92e-05,-6.173e-05,-0.00435253,-0.48076998,0.64335,10,9.16
297,-8.92e-05,-6.173e-05,-0.00711377,-0.46214107,0.64159,10,9.2
298,-8.92e-05,-6.173e-05,-0.00698803,-0.345315,0.64185,10,9.23
299,-8.92e-05,-6.173e-05,-0.00790341,-0.90431741,0.64042,10,9.26
300,-8.92e-05,-6.173e-05,-0.00184891,-0.26621822,0.64063,10,9.29
301,-8.92e-05,-6.173e-05,-0.01085917,-0.78592273,0.6422,10,9.32
302,-8.92e-05,-6.173e-05,-0.00452446,-0.77962573,0.64359,10,9.35
303,-8.92e-05,-6.173e-05,-0.00557941,-0.69047639,0.64114,10,9.38
304,-8.92e-05,-6.173e-05,-0.00058534,-0.89496243,0.64056,10,9.41
305,-8.92e-05,-6.173e-05,-0.00180898,-0.90923931,0.64033,10,9.44
306,-8.92e-05,-6.173e-05,-0.00178833,-0.82537351,0.63942,10,9.47
307,-8.92e-05,-6.173e-05,-0.00816396,-0.76478594,0.63944,10,9.5
308,-8.92e-05,-6.173e-05,-0.00376732,-0.76791627,0.64114,10,9.53
309,-8.92e-05,-6.173e-05,-0.01121463,-0.65187556,0.64098,10,9.56
310,-8.92e-05,-6.173e-05,-0.01041858,-0.65187556,0.64096,10,9.59
311,-8.92e-05,-6.173e-05,-0.01521757,-0.44302629,0.64257,10,9.62
312,-8.92e-05,-6.173e-05,-0.00480465,-0.6318273,0.64433,10,9.65
313,-8.92e-05,-6.173e-05,-0.0079563,-0.39376242,0.64438,10,9.68
314,-8.92e-05,-6.173e-05,-0.00157012,-0.44461584,0.64561,10,9.72
315,-8.92e-05,-6.173e-05,-0.00820176,-0.45524848,0.6467,10,9.75
316,-8.92e-05,-6.173e-05,-0.00033724,-0.45524848,0.64636,10,9.78
317,-8.92e-05,-6.173e-05,-0.00411111,-0.44461584,0.64731,10,9.81
318,-8.92e-05,-6.173e-05,-0.00624491,-0.45057328,0.64594,10,9.84
319,-8.92e-05,-6.173e-05,-0.00795906,-0.45146201,0.6454,10,9.87
320,-8.92e-05,-6.173e-05,-0.00798975,-0.45057328,0.64505,10,9.9
321,-8.92e-05,-6.173e-05,-0.02210688,-0.46982936,0.64809,10,9.93
322,-8.92e-05,-6.173e-05,-0.00953135,-0.31979898,0.6508,10,9.96
323,-8.92e-05,-6.173e-05,-0.00686923,-0.32587185,0.65246,10,9.99
