level,seed,gen,best_fitness,mean_fitness,best_expr,node_count,total_info,monotonicity,mean_rate,parsimony
1,0,1000,-0.0048606,-0.01254999,0,1,0.3485,0.0,0.0,0.005
1,0,1010,-0.0048606,-3000000.01168784,0,1,0.3485,0.0,0.0,0.005
1,0,1020,-0.0048606,-1000000.01222112,0,1,0.3485,0.0,0.0,0.005
1,0,1030,-0.0048606,-2000000.01254331,0,1,0.3485,0.0,0.0,0.005
1,0,1040,-0.0048606,-3000000.01191845,0,1,0.3485,0.0,0.0,0.005
1,0,1050,-0.0048606,-3000000.01187496,0,1,0.3485,0.0,0.0,0.005
1,0,1060,-0.0048606,-0.01240626,0,1,0.3485,0.0,0.0,0.005
1,0,1070,-0.0048606,-0.01168165,0,1,0.3485,0.0,0.0,0.005
1,0,1080,-0.0048606,-2000000.01213945,0,1,0.3485,0.0,0.0,0.005
1,0,1090,-0.0048606,-1000000.01259588,0,1,0.3485,0.0,0.0,0.005
1,0,1100,-0.0048606,-2000000.01189784,0,1,0.3485,0.0,0.0,0.005
1,0,1110,-0.0048606,-0.01191064,0,1,0.3485,0.0,0.0,0.005
1,0,1120,-0.0048606,-2000000.01213008,0,1,0.3485,0.0,0.0,0.005
1,0,1130,-0.0048606,-1000000.0124734,0,1,0.3485,0.0,0.0,0.005
1,0,1140,-0.0048606,-2000000.01200938,0,1,0.3485,0.0,0.0,0.005
1,0,1150,-0.0048606,-2000000.01170012,0,1,0.3485,0.0,0.0,0.005
1,0,1160,-0.0048606,-1000000.01236822,0,1,0.3485,0.0,0.0,0.005
1,0,1170,-0.0048606,-0.0124943,0,1,0.3485,0.0,0.0,0.005
1,0,1180,-0.0048606,-2000000.0122114,0,1,0.3485,0.0,0.0,0.005
1,0,1190,-0.0048606,-2000000.01177632,0,1,0.3485,0.0,0.0,0.005
1,0,1200,-0.0048606,-2000000.01135884,0,1,0.3485,0.0,0.0,0.005
1,0,1210,-0.0048606,-0.01286095,0,1,0.3485,0.0,0.0,0.005
1,0,1220,-0.0048606,-1000000.01276032,0,1,0.3485,0.0,0.0,0.005
1,0,1230,-0.0048606,-2000000.01296838,0,1,0.3485,0.0,0.0,0.005
1,0,1240,-0.0048606,-1000000.01168848,0,1,0.3485,0.0,0.0,0.005
1,0,1250,-0.0048606,-1000000.01237162,0,1,0.3485,0.0,0.0,0.005
1,0,1260,-0.0048606,-1000000.01159862,0,1,0.3485,0.0,0.0,0.005
1,0,1270,-0.0048606,-0.01316323,0,1,0.3485,0.0,0.0,0.005
1,0,1280,-0.0048606,-3000000.01166273,0,1,0.3485,0.0,0.0,0.005
1,0,1290,-0.0048606,-1000000.01240541,0,1,0.3485,0.0,0.0,0.005
1,0,1300,-0.0048606,-1000000.01211985,0,1,0.3485,0.0,0.0,0.005
1,0,1310,-0.0048606,-1000000.0119624,0,1,0.3485,0.0,0.0,0.005
1,0,1320,-0.0048606,-1000000.01256736,0,1,0.3485,0.0,0.0,0.005
1,0,1330,-0.0048606,-0.01236725,0,1,0.3485,0.0,0.0,0.005
1,0,1340,-0.0048606,-0.01215135,0,1,0.3485,0.0,0.0,0.005
1,0,1350,-0.0048606,-0.01187564,0,1,0.3485,0.0,0.0,0.005
1,0,1360,-0.0048606,-1000000.01177889,0,1,0.3485,0.0,0.0,0.005
1,0,1370,-0.0048606,-1000000.01222267,0,1,0.3485,0.0,0.0,0.005
1,0,1380,-0.0048606,-4000000.01160652,0,1,0.3485,0.0,0.0,0.005
1,0,1390,-0.0048606,-1000000.01283238,0,1,0.3485,0.0,0.0,0.005
1,0,1400,-0.0048606,-3000000.01203207,0,1,0.3485,0.0,0.0,0.005
1,0,1410,-0.0048606,-0.01185596,0,1,0.3485,0.0,0.0,0.005
1,0,1420,-0.0048606,-1000000.01202451,0,1,0.3485,0.0,0.0,0.005
